PF03137,GO:0015349,0.032032
PF01280,GO:0070180,0.039193603
PF01281,GO:0003735,0.037698825
PF01282,GO:0003735,0.028720196
PF01283,GO:0003735,0.025850726
PF01284,GO:0019911,0.018853871
PF01285,GO:0001085,0.009997996
PF01286,GO:0003684,0.070658513
PF01287,GO:0003746,0.157718346
PF01288,GO:0003934,0.122051099
PF01289,GO:0015485,0.533304503
PF03133,GO:0070737,0.056885996
PF10664,GO:0016655,0.035038846
PF10660,GO:0051537,0.045276982
PF10662,GO:0005524,0.017128727
PF15949,GO:0008270,0.008676826
PF15943,GO:0003677,0.0071687
PF00885,GO:0000906,0.13118105
PF00884,GO:0004423,0.05998381
PF00887,GO:0004165,0.014794284
PF00886,GO:0003735,0.053073444
PF00737,GO:0042301,0.478438026
PF00880,GO:0008270,0.011007305
PF00883,GO:0004177,0.213495323
PF00734,GO:0030600,0.085488165
PF00738,GO:0005198,0.012978407
PF00889,GO:0003924,0.086306045
PF00888,GO:0031625,0.024509013
PF08500,GO:0003968,0.025353921
PF08501,GO:0050661,0.128039424
PF08502,GO:0030955,0.101927279
PF05544,GO:0050346,0.271742672
PF08504,GO:0003682,0.012223024
PF08506,GO:0008536,0.03804347
PF08509,GO:0000287,0.062621364
PF07886,GO:0030246,0.007518797
PF05548,GO:0004222,0.005429795
PF01424,GO:1990247,0.03326451
PF01425,GO:0047680,0.102358923
PF01426,GO:0003688,0.021924246
PF04147,GO:0000403,0.018407653
PF01420,GO:0009035,0.026638321
PF01421,GO:0004222,0.051466143
PF04414,GO:0046872,0.215573044
PF01423,GO:0036002,0.026724935
PF04148,GO:0097020,0.057207804
PF01429,GO:0008327,0.050172035
PF09631,GO:0000213,0.215456485
PF10272,GO:1904264,0.038038265
PF09632,GO:0004674,0.01867783
PF09635,GO:0004825,0.023385927
PF09637,GO:0000979,0.039869906
PF10274,GO:0004999,0.026352012
PF10278,GO:0001104,0.040580187
PF00089,GO:0042056,0.05451747
PF00088,GO:0008083,0.026690557
PF00085,GO:0016971,0.062727425
PF00084,GO:0004252,0.013995127
PF00086,GO:0001540,0.017373901
PF00081,GO:0004784,0.279641937
PF00080,GO:0051087,0.07703395
PF00083,GO:0005329,0.014453953
PF00082,GO:0004252,0.065896641
PF07055,GO:0051287,0.169106031
PF06213,GO:0051116,0.163467392
PF08933,GO:0004833,0.020324549
PF10890,GO:0008121,0.013656381
PF07140,GO:0019955,0.01935432
PF07145,GO:0003747,0.009198297
PF07147,GO:0003735,0.014390039
PF03063,GO:0016151,0.208873443
PF06368,GO:0031419,0.323771724
PF06369,GO:0015267,0.068220392
PF06819,GO:0004190,0.016534697
PF06363,GO:0005216,0.023730533
PF06816,GO:0031490,0.021373496
PF06817,GO:0039660,0.134328276
PF06367,GO:0005522,0.03858538
PF06365,GO:0043199,0.123425948
PF13188,GO:0043565,0.036706918
PF16448,GO:0000155,0.013396388
PF16338,GO:0033825,0.056199566
PF16339,GO:0004565,0.006805869
PF16335,GO:0004359,0.017966636
PF16330,GO:0005524,0.012156941
PF16332,GO:0047488,0.053272408
PF12538,GO:0003677,0.005659477
PF12539,GO:1990644,0.066752962
PF12533,GO:0001105,0.024424829
PF12537,GO:0008308,0.01601597
PF12534,GO:0005225,0.141036966
PF14798,GO:0005245,0.019313255
PF14794,GO:0004826,0.019039292
PF14795,GO:0005524,0.060551899
PF14790,GO:0008666,0.174559199
PF14791,GO:0003906,0.051230669
PF14792,GO:0003887,0.053345705
PF01868,GO:0004526,0.066833061
PF01869,GO:0009384,0.057258489
PF08889,GO:0047429,0.00892702
PF02248,GO:0004197,0.006170822
PF02245,GO:0052822,0.036954107
PF02244,GO:0004181,0.177166618
PF02247,GO:0005198,0.006799421
PF08886,GO:0004357,0.010696799
PF02241,GO:0050524,0.251526507
PF08880,GO:0008094,0.008130468
PF08883,GO:0051213,0.035413502
PF08882,GO:0018710,0.061702404
PF10470,GO:0034237,0.015566256
PF10473,GO:0008022,0.016472152
PF10472,GO:0004722,0.024187279
PF10475,GO:0019905,0.007148246
PF10477,GO:0003743,0.011006377
PF02824,GO:0008728,0.080389861
PF03264,GO:0020037,0.012488589
PF03265,GO:0004531,0.970373698
PF03266,GO:0098519,0.175972884
PF03261,GO:0016534,0.845389836
PF15441,GO:0005089,0.01780615
PF15440,GO:0001104,0.007827564
PF15447,GO:0050839,0.011566779
PF15445,GO:0050839,0.009337278
PF15444,GO:0004792,0.014229949
PF17177,GO:0004526,0.009322144
PF17176,GO:1990883,0.108155339
PF17171,GO:0003886,0.006023008
PF11289,GO:0005216,0.01395224
PF17179,GO:0047806,0.006793763
PF05048,GO:0033998,0.050981925
